nav-link href,listing-location,price,bed,bath,listing-floorarea,listing-floorarea 2
https://www.rumah.com/listing-properti/dijual-menaggio-village-gading-serpong-oleh-christia-20858175,"MENAGGIO VILLAGE, Gading Serpong, Gading Serpong, Tangerang Selatan, Banten","3,6 M",4,3,181 m²,Rp 21.052.632 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-murah-tanah-luas-dekat-sektor-9-bintaro-sc3662iq-oleh-shanty-suntea-21762133,"Parigi Lama Pondok Aren, Pondok Aren, Tangerang Selatan, Banten","1,7 M",3,2,150 m²,Rp 4.521.277 per m²
https://www.rumah.com/listing-properti/dijual-jual-rumah-elit-4-kamar-tidur-di-kebayoran-bintaro-sektor-7-gb-8421-oleh-gabie-21762141,"bintaro sektor 7, Bintaro, Tangerang Selatan, Banten",6 M,4,3,219 m²,Rp 23.622.047 per m²
https://www.rumah.com/listing-properti/dijual-rumah-mewah-modern-oleh-widita-21085817,"Bintaro, Tangerang Selatan, Banten","7,9 M",4,3,248 m²,Rp 46.470.588 per m²
https://www.rumah.com/listing-properti/dijual-4-bedrooms-rumah-ciputat-timur-tangerang-selatan-banten-oleh-ruth-megawati-17749890,"Ciputat Timur, Tangerang Selatan, Banten","3,2 M",4,2,250 m²,Rp 5.315.615 per m²
https://www.rumah.com/listing-properti/dijual-2-bedrooms-rumah-pamulang-tangerang-selatan-banten-oleh-ruth-megawati-17859940,"Pamulang, Tangerang Selatan, Banten",700 jt,2,,40 m²,Rp 9.722.222 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-bintaro-jaya-sektor-3-oleh-tiur-21679392,"Bintaro, Tangerang Selatan, Banten","3,3 M",5,3,200 m²,Rp 13.200.000 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-kebayoran-residence-bintaro-brand-new-hook-samping-taman-oleh-tiur-21748082,"Bintaro, Tangerang Selatan, Banten","8,25 M",5,4,310 m²,Rp 34.663.866 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-alam-sutera-oleh-tiur-21748982,". Pasar Kemis, Alam Sutera, Tangerang Selatan, Banten","4,2 M",4,4,200 m²,Rp 23.333.333 per m²
https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-siap-huni-di-bintaro-jaya-sektor-9-oleh-tiur-21749085,"Bintaro, Tangerang Selatan, Banten","3,65 M",5,5,200 m²,Rp 13.825.758 per m²
https://www.rumah.com/listing-properti/dijual-bintaro-oleh-hari-delpiero-susanto-21762090,"Bintaro, Tangerang Selatan, Banten",900 jt,2,2,80 m²,Rp 15.000.000 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-graha-raya-bintaro-oleh-tiur-21752663,"Serpong Utara, Tangerang Selatan, Banten","1,25 M",2,1,54 m²,Rp 11.904.762 per m²
https://www.rumah.com/listing-properti/dijual-rumah-super-mewah-ada-swim-pool-di-kebayoran-bintaro-sc9509iq-oleh-shanty-suntea-21762097,"Kebayoran Bintaro Sektor 7, Bintaro, Tangerang Selatan, Banten","14,5 M",5,4,350 m²,Rp 44.891.641 per m²
